id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,created_at,updated_at,quality_grade,url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,common_name
31761,a32fd301-be62-47fb-943a-b6891944d828,2008-07-05,2008-07-05,,Pacific Time (US & Canada),2991,2011-09-20 00:46:12 UTC,2022-11-19 08:41:52 UTC,research,http://www.inaturalist.org/observations/31761,Along the trail up to Gold Cord Lake.,6,0,false,,"Hatcher Pass, Alaska, USA",61.7950359512,-149.2736434936,443,,,,443,,open,false,,,Alaska,Collared Pika
36419,fdb8843a-a7bc-4635-b837-16890cd0d615,2006-07-12,2006-07-12,,Central Time (US & Canada),3322,2011-10-20 20:10:17 UTC,2022-11-19 20:42:50 UTC,research,http://www.inaturalist.org/observations/36419,"Pika in Denali National Park, July 2006 near Polychrome Pass.  Species corrected to Collared Pika",6,0,false,,"Denali National Park, Alaska",63.1148002,-151.1926058,,,,,,,open,false,,,Alaska,Collared Pika
137763,65e3ecc5-cc25-4c58-8fc2-fc7fa5eda4d2,2012-09-21,2012-09-21,,Alaska,10474,2012-10-21 23:06:31 UTC,2022-11-19 20:13:44 UTC,research,http://www.inaturalist.org/observations/137763,"Temperature between 45 and 55 F
Time 1:18 pm
Mild wind NW. Animal resting on rocks facing east. Elevation 950.4 m. Photo labeled Pika A. Second photo shows habitat.",6,1,false,,"Denali National Park, Denali County, US-AK, US",63.7322375297,-150.4021453857,3138,,,,3138,,open,false,,,Alaska,Collared Pika
137772,b400da49-337b-429f-a62f-06bd5f1e3de8,2012-09-21,2012-09-21,,Alaska,10474,2012-10-21 23:19:30 UTC,2022-11-19 09:10:37 UTC,research,http://www.inaturalist.org/observations/137772,Pika D (may be same individual identified as Pika A who had moved to far end of rock pile by later afternoon. Call from one end of rock pile while another animal in view at same time. Temperature 45-55. Wind NW moderate. Animal on rocks facing SSE. Elevation 953.7 m.,6,1,false,,Stampede Creek area Denali National Park AK,63.73667,-150.40056,1,,,,1,,open,false,,,Alaska,Collared Pika
174239,dba571a8-b911-488a-9906-d9f48e400c21,2012-09-21,2012-09-21,,Alaska,12212,2013-01-07 18:04:13 UTC,2022-11-19 09:15:43 UTC,research,http://www.inaturalist.org/observations/174239,"Sarah Isto collected pika data from Stampede Creek Denali AK.
Pika A:east facing ridge, ""sunning"" on rocks facing east, elevation 3138, GPS: N63 44 058, W150 24 081. Time 1:18 pm.",5,0,false,,"N63 44 058, W150 24 081",63.7494444444,-150.4225,,,,,,,open,false,,,Alaska,Collared Pika
174240,ffb8fb06-aa59-45e5-b12c-960cf44b5e06,2012-09-21,2012-09-21,,Alaska,12212,2013-01-07 18:07:43 UTC,2022-11-19 09:15:49 UTC,research,http://www.inaturalist.org/observations/174240,"Sarah Isto collected pika data from Stampede Creek Denali AK. 
Pikas B & C: living in a second ridge, with rockpile facing SSE, elevation 3171, GPS: N63 43 971, W150 24 426. Time 3:17 pm.  Photograghs show pikas C & B

",5,0,false,,"N63 43 971, W150 24 426",63.9863888889,-150.5183333333,,,,,,,open,false,,,Alaska,Collared Pika
174241,47569bbd-7f68-4f0b-a7e0-9bd83faf5ed4,2012-09-21,2012-09-21,,Alaska,12212,2013-01-07 18:12:21 UTC,2022-11-19 09:16:00 UTC,research,http://www.inaturalist.org/observations/174241,"Sarah Isto collected pika data from Stampede Creek Denali AK.
Pika D (or possibly second view of Pika A at far end of rock pile facing SSE), elevation 3129, GPS: N63 44 124, W150 24 023. Time 3:54 pm.
She did not see any haypiles, urine stains or scats.  Grass is scarce in these areas so they are probably stockpiling other sorts of vegetation deep under all the tumbled rock.  Temperatures varied from about 45F to 55F, no snow on ground, moderately brisk NW wind. No ground squirrels out (already hibernating?) but saw pika in 2 of the 3 locations where we have photographed them in the past. 

",5,0,false,,"N63 44 124, W150 24 023",63.7677777778,-150.4063888889,,,,,,,open,false,,,Alaska,Collared Pika
798341,a15b48b1-7c4b-479e-a9e2-a84b9022d0f5,"July 04, 2014 11:28",2014-07-04,2014-07-04 19:28:00 UTC,Alaska,1000,2014-07-23 14:17:43 UTC,2024-10-28 15:30:20 UTC,research,http://www.inaturalist.org/observations/798341,"Around an abandoned mining operation, now looked after by the Park Service.",5,0,false,,Hatcher Pass,61.790358,-149.285191,64,,,,64,,open,false,,manual,Alaska,Collared Pika
1873185,9d1f1fe6-73e0-473c-bad4-5782683f99ba,2015-08-12,2015-08-12,,Pacific Time (US & Canada),20292,2015-08-19 03:21:19 UTC,2022-12-11 22:46:14 UTC,research,http://www.inaturalist.org/observations/1873185,"",4,0,false,,"Wrangell-St Elias NP, AK",61.616713,-142.048244,505,,,,505,,open,false,,,Alaska,Collared Pika
4612250,5eb5657e-190f-4155-a860-1d45418e9c93,2016/09/15 1:58 PM PDT,2016-09-15,2016-09-15 20:58:00 UTC,Pacific Time (US & Canada),231737,2016-11-21 21:36:09 UTC,2022-12-13 07:07:14 UTC,research,http://www.inaturalist.org/observations/4612250,,5,0,false,,"Savage Alpine Trail, Denali, AK, USA",63.7393535912,-149.281668663,100,,,,100,,open,false,,,Alaska,Collared Pika
5981297,d82e1b84-4c27-4ea9-9aad-d1a53d3cd897,2006/07/23 9:12 AM EDT,2006-07-23,2006-07-23 13:12:00 UTC,Eastern Time (US & Canada),168813,2017-04-27 15:32:59 UTC,2019-09-09 12:22:03 UTC,research,http://inaturalist.ca/observations/5981297,"",3,0,false,,"North Canol Road, Mac Pass area, Yukon, YT, Canada",63.2018636952,-130.095205307,122,,,,24381,,open,false,,,Yukon,Collared Pika
6350514,650ea07b-abdc-450e-9353-8a11bc9e648b,2013/08/14 10:52 AM MDT,2013-08-14,2013-08-14 16:52:00 UTC,Mountain Time (US & Canada),1937,2017-05-24 22:40:01 UTC,2019-01-12 19:09:06 UTC,research,http://inaturalist.ca/observations/6350514,Carcajou Lake Colony,2,0,false,,"Inuvik Region, NT, Canada",64.66422,-127.856357,100,,,,24185,,open,false,,,Northwest Territories,Collared Pika
6350578,7d0ec91c-ec40-4ba1-ad0c-c2258c6464ac,2013/08/13 10:11 AM MDT,2013-08-13,2013-08-13 16:11:00 UTC,Mountain Time (US & Canada),1937,2017-05-24 22:47:26 UTC,2019-01-12 19:09:08 UTC,research,http://inaturalist.ca/observations/6350578,Leonard Lake,2,0,false,,"Inuvik Region, NT, Canada",64.340719,-127.967504,,,,,24241,,open,false,,,Northwest Territories,Collared Pika
6671139,e8a5cd16-8c51-4640-885a-946a79dc8d61,Mon Jun 12 2017 13:28:56 GMT-0800 (AKDT),2017-06-12,2017-06-12 21:28:56 UTC,Alaska,167056,2017-06-15 20:56:02 UTC,2020-04-07 22:01:30 UTC,research,https://www.inaturalist.org/observations/6671139,,2,0,false,3,"Yukon-Charley Rivers National Preserve, Southeast Fairbanks County, US-AK, US",64.9279538356,-142.8478394823,5,,,,5,,open,false,,,Alaska,Collared Pika
7024368,e8fbd4fd-4db5-484d-89c6-37a100a17a5a,2012-06-23 08:17:19,2012-06-23,2012-06-23 06:17:19 UTC,Pretoria,140956,2017-07-12 15:08:47 UTC,2023-07-06 16:39:38 UTC,research,https://www.inaturalist.org/observations/7024368,"",3,0,false,,"Clinton Creek, Yukon Territory, Canada",64.469316,-139.865226,,,,,24213,,open,false,,"",Yukon,Collared Pika
7284553,80d91fd9-1110-4474-94e1-217f6c1de9a1,2017/07/16 10:24 AM PDT,2017-07-16,2017-07-16 17:24:00 UTC,Pacific Time (US & Canada),74597,2017-07-30 22:16:30 UTC,2024-08-31 02:13:48 UTC,research,https://www.inaturalist.org/observations/7284553,,4,0,false,,"Denali National Park, Denali, Alaska, United States",63.541525,-149.8018733333,,,,,,,open,false,,,Alaska,Collared Pika
7647198,e730fb9a-1a17-46b4-8d4f-829654df04f3,2014/07/15 8:58 AM PDT,2014-07-15,2014-07-15 15:58:00 UTC,Pacific Time (US & Canada),515751,2017-08-25 18:10:06 UTC,2019-03-22 15:51:05 UTC,research,https://www.inaturalist.org/observations/7647198,,3,0,false,,"Stikine Region, BC, Canada",59.8487698069,-136.6754150391,15625,,,,24879,,open,false,,,British Columbia,Collared Pika
7671018,bef1ce12-47a6-4515-9415-a275bb167d4e,2017/08/23 12:49 PM AKDT,2017-08-23,2017-08-23 20:49:00 UTC,Alaska,25990,2017-08-27 09:30:23 UTC,2023-11-30 04:59:39 UTC,research,https://www.inaturalist.org/observations/7671018,"",5,0,false,,"Skagway, AK 99840, USA",59.4301725567,-135.2825463349,122,,,,122,,open,false,,,Alaska,Collared Pika
7873578,ff95600a-37dd-4135-94bc-c3198b79abde,Sun Sep 10 2017 17:54:28 GMT-0700 (PDT),2017-09-10,2017-09-11 00:54:28 UTC,Pacific Time (US & Canada),480504,2017-09-11 03:55:26 UTC,2020-06-26 21:16:59 UTC,research,https://www.inaturalist.org/observations/7873578,,2,0,false,3,"Yukon, CA-YT, CA",60.8569905821,-137.9087464296,3753,,,,3753,,open,false,,,Yukon,Collared Pika
9680012,f95d25c8-b6e8-468f-b0c8-5911225fcc15,2009/06/13 9:49 AM EDT,2009-06-13,2009-06-13 13:49:00 UTC,Eastern Time (US & Canada),5473,2018-01-31 14:53:24 UTC,2024-06-03 10:57:58 UTC,research,https://www.inaturalist.org/observations/9680012,,4,0,false,,"Anchorage, AK, USA",61.1137117545,-149.6220974868,4337,,,,4337,,open,false,,,Alaska,Collared Pika
9749738,f755d433-55b6-4f6e-8b04-971b91ab72f6,2012-09-03 12:57:00,2012-09-03,2012-09-03 19:57:00 UTC,Pacific Time (US & Canada),10326,2018-02-06 06:09:23 UTC,2019-10-23 01:37:17 UTC,research,https://www.inaturalist.org/observations/9749738,"Tombstone Territorial Park
Dempster Highway
Yukon Territory, Canada
3 September 2012",4,0,false,,"Glenboyle, Yukon Territory, Canada",64.117197,-138.542404,,,,,,,open,false,,"",Yukon,Collared Pika
11167878,4b7fdcd6-cec0-440b-80cb-af88b6ab2c45,2016/07/02 7:44 AM UTC,2016-07-02,,UTC,264273,2018-04-19 15:17:24 UTC,2023-06-20 14:17:35 UTC,research,https://www.inaturalist.org/observations/11167878,,3,0,false,,"Yukon, YT, Canada",64.9307525914,-138.2911777483,67,,,,24158,,open,false,,,Yukon,Collared Pika
13764075,e1926b50-4f50-419b-a603-36b542e11be0,2015/07/12 5:26 PM PDT,2015-07-12,2015-07-13 00:26:00 UTC,Pacific Time (US & Canada),842243,2018-06-25 05:33:32 UTC,2018-06-25 20:12:15 UTC,research,https://www.inaturalist.org/observations/13764075,,2,0,false,,"Keno City, YT, Canada",63.9427992167,-135.2657358704,61,,,,24296,,open,false,,,Yukon,Collared Pika
14248803,f058e869-6309-4fc8-b7dd-72b326986717,2018/07/04 4:33 PM PDT,2018-07-04,2018-07-04 23:33:00 UTC,Pacific Time (US & Canada),842243,2018-07-11 02:32:44 UTC,2019-12-04 12:51:41 UTC,research,https://www.inaturalist.org/observations/14248803,total of 6 around the top,3,0,false,,"Keno Hill, YT, Canada",63.9413616667,-135.2217316667,,,,,,,open,false,,,Yukon,Collared Pika
14328147,4f88e6de-3c65-4e30-af50-556d26f22e77,2013/06/26 2:12 PM PDT,2013-06-26,2013-06-26 21:12:00 UTC,Pacific Time (US & Canada),35757,2018-07-13 21:33:14 UTC,2019-01-12 19:05:19 UTC,research,https://www.inaturalist.org/observations/14328147,"N-facing block talus, 1850 m el.",2,0,false,,"Yukon, YT, Canada",64.62076,-138.83652,50,,,,24185,,open,false,,,Yukon,Collared Pika
14766416,a3bf818a-4d95-4039-b98f-fc847794b4be,2018/06/05 3:48 PM PDT,2018-06-05,2018-06-05 22:48:00 UTC,Pacific Time (US & Canada),1064006,2018-07-26 22:57:52 UTC,2024-10-27 18:37:49 UTC,research,https://www.inaturalist.org/observations/14766416,"",1,0,false,,"Tombstone, CA-YT, CA-YT-YT, CA",64.7047024083,-138.7118420389,,,,,24185,obscured,open,true,,,Yukon,Collared Pika
14919426,11e9562e-9274-49d1-a4ad-c6879afc2cbe,2018-07-25 2:32:24 PM PDT,2018-07-25,2018-07-25 21:32:24 UTC,Pacific Time (US & Canada),480699,2018-07-30 02:21:47 UTC,2019-01-12 18:45:55 UTC,research,https://www.inaturalist.org/observations/14919426,At least 3 seen and heard.,2,0,false,2,"Kluane, CA-YT, CA-YT-YT, CA",60.8577766418,-138.566116333,,,,,24730,,open,false,gps,gps,Yukon,Collared Pika
15095093,81a69e15-b99d-45da-9b41-e3aa17e8d76f,2018/07/04 12:33 PM PDT,2018-07-04,2018-07-04 19:33:00 UTC,Pacific Time (US & Canada),491886,2018-08-04 04:06:33 UTC,2020-04-20 03:09:30 UTC,research,https://www.inaturalist.org/observations/15095093,All species observed were along the Crow Creek Pass trail.,4,0,false,,"Anchorage, AK, USA",61.0284162599,-149.1169446256,31,,,,31,,open,false,,,Alaska,Collared Pika
15714422,9d7504bd-e4dc-42f2-80ad-dd660ceca8e4,2018-08-19 1:38:50 PM AKDT,2018-08-19,2018-08-19 21:38:50 UTC,Alaska,1134651,2018-08-20 05:01:53 UTC,2018-08-21 19:08:45 UTC,research,https://www.inaturalist.org/observations/15714422,,1,0,false,2,"Healy, AK 99743, USA",63.7369003296,-149.2341918945,,,,,,,open,false,gps,gps,Alaska,Collared Pika
15774904,867383aa-50c1-46ae-a7e0-f5b37fc1bbde,2018/08/19 9:34 PM HST,2018-08-19,2018-08-20 07:34:00 UTC,Hawaii,721794,2018-08-22 03:53:09 UTC,2019-01-12 19:05:24 UTC,research,https://www.inaturalist.org/observations/15774904,,3,0,false,,"Yukon, YT, Canada",61.3937066144,-138.1813199093,61,,,,24671,,open,false,,,Yukon,Collared Pika
