device,date,sunrise_real,solar_noon,sunset_real,dawn,dusk,site,sunrise,sunset
PIKARU1,20240719,5:15,14:19,23:22,3:52,0:48,PC,3.87,0.80
PIKARU1,20240721,5:20,14:20,23:17,4:00,0:40,PC,4.00,0.67
PIKARU1,20240725,5:30,14:20,23:08,4:16,0:24,PC,4.27,0.40
PIKARU6,20240719,5:15,14:20,23:23,3:52,0:48,PP,3.87,0.80
PIKARU6,20240721,5:20,14:20,23:17,4:00,0:40,PP,4.00,0.67
PIKARU6,20240724,5:28,14:20,23:10,4:12,0:28,PP,4.20,0.47
PIKARU11,20240727,5:36,14:18,22:58,4:28,0:09,MD,4.47,0.15
PIKARU11,20240728,5:39,14:18,22:56,4:31,0:06,MD,4.52,0.10
PIKARU11,20240731,5:46,14:18,22:48,4:42,23:51,MD,4.70,23.85
PIKARU21,20240809,5:45,14:19,22:51,4:30,0:09,MB,4.50,0.15
PIKARU21,20240810,5:48,14:19,22:47,4:35,23:59,MB,4.58,23.98
PIKARU21,20240812,5:54,14:18,22:40,4:44,23:49,MB,4.73,23.82
BC,20240807,,,,4:20,0:20,BC,4.33,0.33
