,audio_file,annotation_file,annotation,start_time,end_time,low_f,high_f,View,Low Freq (Hz),Annotation,Selection,Begin Time (s),End Time (s),Channel,High Freq (Hz)
0,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,69.242800511,69.318902413,2167.837,3468.539,Spectrogram 1,,,1,,,1,
1,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,80.021597163,80.125372484,2415.59,3840.169,Spectrogram 1,,,2,,,1,
2,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,84.746833436,84.843690402,2353.652,3902.107,Spectrogram 1,,,3,,,1,
3,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,86.898441754,87.005676252,2477.528,3964.045,Spectrogram 1,,,4,,,1,
4,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,89.119233619,89.247223181,2229.775,3964.045,Spectrogram 1,,,5,,,1,
5,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,91.73783088,91.831228669,2415.59,4025.983,Spectrogram 1,,,6,,,1,
6,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKA,95.731451141,95.833496873,2291.713,3964.045,Spectrogram 1,,,7,,,1,
7,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.Table.1.selections.txt,PIKAI,98.543003608,98.653697284,2415.59,3716.292,Spectrogram 1,,,8,,,1,
8,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.Table.1.selections.txt,PIKA,75.953826937,76.078573333,2525.851,3959.443,Spectrogram 1,,,1,,,1,
9,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.Table.1.selections.txt,PIKA,85.317144674,85.434553046,2457.585,3959.443,Spectrogram 1,,,2,,,1,
