file,start_time,end_time,PIKA
./audio_data\New_data\PIKARU8_20240720_133002.wav,248.38,248.68,True
./audio_data\New_data\PIKARU6_20240722_114002.wav,311.74,312.04,True
./audio_data\New_data\PIKARU5_20240724_115002.wav,375.32,375.62,False
./audio_data\New_data\PIKARU10_20240726_122002.wav,307.78,308.08,False
./audio_data\Original_data\PIKARU10_20240720_182002.wav,337.48,337.78000000000003,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T2_20210621_030000.mp3,45.32,45.62,False
./audio_data\Original_data\PIKARU25_20240809_151002.wav,449.02,449.32,False
./audio_data\Original_data\PIKARU14_20240731_162002.wav,419.54,419.84,False
./audio_data\New_data\PIKARU13_20240730_135002.wav,496.54,496.84,False
./audio_data\Original_data\PIKARU15_20240726_194002.wav,173.8,174.10000000000002,True
./audio_data\Original_data\PIKARU25_20240811_190002.wav,25.74,26.04,False
./audio_data\Original_data\PIKARU14_20240726_191002.wav,141.02,141.32000000000002,False
./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,106.04,106.34,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,131.34,131.64,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-254641-T1_20210628_070000.mp3,235.62,235.92,False
./audio_data\New_data\PIKARU7_20240722_110002.wav,95.26,95.56,True
./audio_data\Original_data\Pika_Camp_recording_2.wav,104.5,104.8,True
./audio_data\Original_data\PIKARU9_20240725_162002.wav,332.86,333.16,False
./audio_data\Original_data\PIKARU7_20240724_162002.wav,35.86,36.16,True
./audio_data\New_data\PIKARU6_20240722_114002.wav,544.06,544.3599999999999,True
./audio_data\Original_data\PIKARU14_20240729_163002.wav,485.1,485.4,False
./audio_data\Original_data\PIKARU9_20240720_102002.wav,465.52,465.82,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,276.1,276.40000000000003,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T3_20210703_030000.mp3,77.0,77.3,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T5_20210703_051500.mp3,215.82,216.12,False
./audio_data\Original_data\STE-039.wav,50.16,50.46,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,134.86,135.16000000000005,True
./audio_data\Original_data\PIKARU11_20240728_131002.wav,329.34,329.64,False
./audio_data\Original_data\PIKARU11_20240731_100002.wav,202.18,202.48,False
./audio_data\Original_data\PIKARU8_20240719_081002.wav,289.74,290.04,True
./audio_data\Original_data\PIKARU24_20240810_093002.wav,228.8,229.1,False
./audio_data\New_data\PIKARU11_20240728_092002.wav,568.7,569.0,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,100.32,100.62,True
./audio_data\Original_data\PIKARU7_20240722_171002.wav,162.58,162.88000000000002,False
./audio_data\Original_data\PIKARU22_20240813_085002.wav,249.92,250.22,False
./audio_data\Original_data\PIKARU10_20240719_150002.wav,117.48,117.78,False
./audio_data\Original_data\PIKARU14_20240728_102002.wav,46.42,46.72,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,155.98,156.28,False
./audio_data\Original_data\PIKARU23_20240808_202002.wav,234.3,234.6,False
./audio_data\New_data\PIKARU15_20240727_164002.wav,188.1,188.4,False
./audio_data\Original_data\PIKARU9_20240725_162002.wav,325.6,325.90000000000003,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T5_20210703_051500.mp3,54.56,54.86,True
./audio_data\Original_data\Pika_Camp_recording_2.wav,42.46,42.76,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210615_044500.mp3,40.26,40.56,True
./audio_data\New_data\PIKARU9_20240719_124002.wav,291.5,291.8,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T4_20210610_060000.mp3,93.06,93.36,True
./audio_data\Original_data\PIKARU3_20240720_112002.wav,157.74,158.04000000000002,True
./audio_data\New_data\PIKARU11_20240727_104002.wav,118.36,118.66,False
./audio_data\New_data\PIKARU23_20240809_183002.wav,339.9,340.2,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T4_20210610_060000.mp3,63.36,63.66,False
./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,56.98,57.28,False
./audio_data\Original_data\PIKARU8_20240719_081002.wav,441.32,441.62,False
./audio_data\Original_data\PIKARU11_20240731_100002.wav,330.88,331.18,False
./audio_data\Original_data\PIKARU23_20240810_095002.wav,329.78,330.08,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T3_20210703_030000.mp3,66.66,66.96,True
./audio_data\Original_data\Pika_Camp_recording_3.wav,7.92,8.22,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T4_20210628_043000.mp3,64.24,64.53999999999999,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,248.82,249.12,True
./audio_data\Original_data\PIKARU25_20240811_190002.wav,297.44,297.74,False
./audio_data\New_data\PIKARU12_20240731_173002.wav,295.24,295.54,False
./audio_data\Original_data\PIKARU25_20240808_193002.wav,356.84,357.14,False
./audio_data\Original_data\PIKARU25_20240811_131002.wav,361.46,361.76,False
./audio_data\Original_data\STE-045.wav,18.7,19.0,False
./audio_data\Original_data\PIKARU9_20240720_102002.wav,173.14,173.44,False
./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,102.3,102.6,False
./audio_data\New_data\PIKARU7_20240722_110002.wav,363.22,363.52,True
./audio_data\Original_data\PIKARU1_20240719_095002.wav,572.22,572.52,True
./audio_data\Original_data\PIKARU25_20240810_083002.wav,398.42,398.72,False
./audio_data\Original_data\PIKARU15_20240729_113002.wav,206.14,206.44,False
./audio_data\Original_data\PIKARU4_20240720_141002.wav,102.74,103.04,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210615_044500.mp3,146.3,146.60000000000002,True
./audio_data\Original_data\PIKARU14_20240728_102002.wav,96.8,97.1,False
./audio_data\Original_data\Pika_Camp_recording_2.wav,22.44,22.74,True
./audio_data\Original_data\PIKARU10_20240720_182002.wav,540.1,540.4,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T5_20210703_051500.mp3,40.04,40.34,True
./audio_data\New_data\PIKARU2_20240718_173002.wav,213.84,214.14,False
./audio_data\Original_data\PIKARU13_20240729_074002.wav,60.5,60.8,False
